Date	thermD	MLD	SW	AirT	Prec(mm)	relhum	Wdir	Wspeed(m/s)	CC	Inflow	W	delT	Ice_d	day_from_iceoff	MM	NH4-N	NOX	O2	Tot-P	PO4-P	Si	Water temp	Chl
1986-10-14	-36.8	-6.519291415511108	76.99996185	7.2722222222222195	0.0	84.38072032652279	210.0	2.4388888888888887	100.0	7.38125	0.0697569342810824	2.0909457206726074	80	136.0	10	5.0	1190.0	8.79	132.0	107.0	3.45	9.0	0.8
1987-03-17	-36.8	-36.8	125.6442261	-3.7833333333333337	0.0	85.5561558043043	0.0	1.2291666666666667	100.0	4.03317	0.0	0.0012190341949462	74	-56.0	3	9.0	1240.0	9.75	74.0	48.0	4.73	1.3	0.8
1987-05-12	-36.8	-36.8	55.88553619	4.095833333333334	7.4	85.37955962011104	0.0	1.8166666666666664	79.33333333333333	13.8445	0.0057570527323067	-0.014724463224411	74	0.0	5	13.0	1400.0	9.63	87.0	35.0	4.7	5.6	2.9
1987-06-10	-10.3788	-36.8	247.5685577	12.574999999999998	0.0	62.43963368880312	210.0	3.079166666666667	75.0	5.57446	0.0004639294360289	0.0159339904785156	74	29.0	6	9.0	1380.0	9.66	50.0	23.0	4.15	10.8	5.3
1987-07-13	-6.3469	-36.8	87.39405823	14.5375	0.0	65.68204185247976	20.0	2.0291666666666663	79.33333333333333	4.75622	0.0026323514410874	-0.0060114562511444	74	62.0	7	27.0	940.0	9.98	41.0	7.0	3.5	17.5	19.5
1987-08-10	-8.7387	-36.8	136.1128845	10.545833333333333	0.1	82.55378721768923	330.0	2.279166666666667	67.0	9.36084	0.0	0.0008143754675984	74	90.0	8	46.0	900.0	8.0	31.0	4.0	1.9	16.4	8.7
1987-09-14	-16.7465	-1.7380754871518294	136.0103149	10.470833333333337	0.3	85.83667356477744	250.0	2.4874999999999994	41.66666666666666	6.39751	0.0007803985890612	1.4126486778259275	74	125.0	9	7.0	990.0	7.76	56.0	28.0	2.9	13.6	1.3
1987-10-14	-36.8	-6.223962583578162	32.37713623	8.8875	0.6	91.48017771373736	140.0	1.3625	92.0	3.0155	0.1348809298265393	3.305051326751709	74	155.0	10	8.0	1100.0	9.04	74.0	39.0	3.5	10.6	1.5
1988-03-15	-36.8	-36.8	145.3948212	-6.750000000000001	0.0	79.67433390673342	0.0	1.5375	37.66666666666666	12.7198	0.0006311055862837	-0.0403952598571777	71	-77.0	3	8.0	1480.0	11.79	69.0	50.0	4.8	0.6	0.4
1988-05-09	-1.2432	-36.8	283.0345764	9.366666666666664	0.0	47.3350565326578	0.0	1.5208333333333337	13.0	14.6662	0.0011833647520212	-3.995141014456749e-05	71	-22.0	5	10.0	1500.0	10.83	69.0	43.0	4.8	6.3	1.2
