Date	Wind Spd	AirP	AirT	Hum	CC	SWR	delT	Kelsey_inflow	Kelsey_temp	Scotts_inflow	Scotts_temp	Middle_inflow	Middle_temp	Ungaged_inflow	Ungaged_temp
2020-01-12	0.3352625	967.1497875	4.870833333333333	79.375	0.314775	261.0	0.05319444444444432	1.21	6.8646	0.888	6.8718	0.894	10.233	3.5	5.74550903108318
2020-01-13	0.9313291666666667	964.8823041666666	5.799999999999998	80.125	0.25905833333333333	417.0	0.059166666666666444	1.194	6.8271	0.943	7.6132	1.127	10.292	3.819	6.086536120975733
2020-01-14	1.2293541666666667	964.364475	6.595833333333334	85.16666666666667	0.30682499999999996	546.0	0.07458333333333345	1.388	7.2576	1.669	8.1153	2.605	9.3833	6.624	7.33220788536591
2020-01-15	0.2235125	964.3023999999999	2.7999999999999994	85.125	0.3012333333333333	434.0	0.06444444444444448	1.413	6.5257	1.57	6.8854	2.082	8.3486	5.927	6.445906788719046
2020-01-16	2.1793166666666672	953.6253916666665	5.075	82.29166666666667	0.34231666666666666	423.0	0.04388888888888894	5.076	6.6132	7.669	7.1972	8.491	8.2194	24.845	12.885260928540264
2020-01-17	0.5401624999999999	965.326775	3.470833333333333	91.41666666666667	0.30567083333333334	418.6667	0.026666666666666578	5.899	5.5743	8.16	5.9285	7.623	6.9208	25.368	12.290328468347667
2020-01-18	0.4097833333333334	971.8794458333332	4.404166666666668	86.45833333333333	0.2554125	444.0	0.09569444444444435	3.828	6.2542	4.83	6.7819	4.781	7.85	15.724	9.586645145284669
2020-01-19	0.2048875	968.5339708333331	5.979166666666667	80.16666666666667	0.31072916666666667	349.8	0.08027777777777785	3.178	6.6194	3.423	7.0771	4.026	8.3819	12.433	8.7099310734424
2020-01-20	0.2793875	961.7936541666664	8.620833333333334	69.5	0.3455	321.6667	0.020416666666667044	2.83	7.1597	2.683	7.8431	3.828	8.8903	10.929	8.644074662356374
2020-01-21	0.03725	961.3548249999999	7.654166666666668	80.95833333333333	0.3333333333333333	287.0	0.052638888888888714	2.709	7.7382	2.496	8.2215	5.35	8.8278	12.35	9.43664484262509
2020-01-22	0.24214166666666667	966.6629916666666	7.241666666666667	90.83333333333333	0.2883583333333333	375.0	0.1711111111111109	3.267	8.6576	2.498	8.73	6.112	8.916	13.897	10.428070154444507
2020-01-23	0.11175416666666667	969.0828458333334	6.466666666666666	87.5	0.31831249999999994	367.0	0.5368055555555554	2.78	8.2153	2.016	8.3466	4.116	9.2403	10.427	8.996321005442583
2020-01-24	0.2793875	965.4932624999997	9.1625	94.0	0.3180916666666666	378.0	0.6481944444444442	2.595	8.6326	1.831	9.3669	3.373	10.476	9.125	9.041597040036223
2020-01-25	0.2235125	964.8907666666668	10.695833333333331	90.625	0.37002500000000005	227.0	1.054305555555556	2.482	9.8458	1.775	10.724	4.162	11.3	9.849	10.13966571841339
2020-01-26	0.8754541666666666	964.1570708333333	11.587499999999999	84.0	0.19436666666666666	626.0	1.0027777777777782	3.413	10.76	6.917	10.864	14.316	10.931	28.835	16.819771436715502
2020-01-27	0.5960458333333332	971.2924666666664	8.933333333333332	86.08333333333333	0.23848333333333335	455.0	0.4938888888888889	3.213	10.213	4.777	9.7384	9.53	10.167	20.499	13.483344501244266
2020-01-28	1.1548541666666667	970.8536541666668	10.2875	83.125	0.2073125	554.0	0.5286111111111113	2.913	10.165	3.755	10.436	7.537	10.695	16.62	12.4068966203412
2020-01-29	0.5401666666666666	970.1862416666664	7.383333333333333	80.875	0.26565833333333333	404.0	0.2584722222222225	2.754	9.4771	3.015	9.283	5.86	9.8646	13.605	10.788408822681168
2020-01-30	0.3911624999999999	968.1501791666666	12.008333333333335	66.04166666666667	0.14745	548.0	0.4769444444444444	2.571	9.5528	2.431	9.9051	4.517	10.715	11.138	10.198549965924746
2020-01-31	0.26077083333333334	970.0479583333332	10.450000000000001	76.29166666666667	0.13086250000000002	576.0	0.8334722222222221	2.404	9.9062	2.016	10.314	3.596	11.061	9.378	9.866092814987455
2020-02-01	0.03725	971.5901875000001	9.524999999999999	79.125	0.15640833333333332	642.0	1.1881944444444446	2.269	9.7438	1.734	9.9375	2.963	10.902	8.151	9.277317288068284
