Date,DO_sur,DO_bot
2022-01-01,9.221834638014919,8.700055169160713
2022-01-02,8.384774042934815,8.297151267159752
2022-01-03,8.413861469069927,8.4861255867901
2022-01-04,7.977354570820918,7.347367547865537
2022-01-05,8.980415317808957,8.360341963356108
2022-01-06,8.98710729090726,8.43025627021738
2022-01-07,7.545755728801308,6.796283284313637
2022-01-08,7.5936848510869766,6.975833249195613
2022-01-09,7.887303651337567,7.371847652381122
2022-01-10,7.734279637058383,7.1941359292030915
2022-01-11,8.641841166476135,8.434537668182939
2022-01-12,8.559980215332386,8.383054882540375
2022-01-13,8.160412600465923,7.729876821265017
2022-01-14,8.289130287402594,7.831089741008678
2022-01-15,9.143180745091838,8.402664067847857
2022-01-16,8.44275129014999,8.230770092782988
2022-01-17,8.682722622223594,8.314146110249107
2022-01-18,8.653222947273555,8.31190217664225
2022-01-19,11.028528681783515,9.588281632386861
2022-01-20,10.972610575299573,9.399307903817004
2022-01-21,11.349546143834969,10.119304713808113
2022-01-22,10.110953015325457,9.32908845966639
2022-01-23,9.062357078880385,8.606737674863208
2022-01-24,8.79963913799427,8.078239720337805
2022-01-25,8.850379043205121,8.166302657004765
2022-01-26,9.055908954905794,8.432202380590043
2022-01-27,8.522453969755974,8.182016468963164
2022-01-28,8.922267971492836,8.541519067556667
2022-01-29,9.289526740204465,8.142185117413671
2022-01-30,9.5140695586711,9.132404777717428
2022-01-31,8.703601470099832,8.118418507995537
2022-02-01,10.758525068980957,10.144348000226312
2022-02-02,11.401367079928209,10.876982837607954
2022-02-03,10.550352224379541,10.063074621229484
2022-02-04,11.352758824874464,10.467707121790571
2022-02-11,10.448886658418548,8.89030990521515
2022-02-12,10.740389954391613,9.486148917083717
2022-02-13,11.223657234591537,10.467444710971712
2022-02-14,10.908205615073264,9.597146373122616
2022-02-15,10.735167461110471,10.805629907940633
2022-02-16,10.061129992957852,9.932287947652586
2022-02-17,9.889987309387532,9.636625291667178
2022-02-18,10.642771701172093,10.216907706575887
2022-02-19,11.258953816784405,10.477096342574551
2022-02-20,10.544441783544892,9.955463251117576
2022-02-21,9.93550602137844,10.056552143365598
2022-02-22,10.007881108106965,9.90865637327064
2022-02-23,10.527117704865814,10.607136456242685
2022-02-24,10.704628433702242,10.746340406709354
2022-02-25,10.662385594615735,10.713884647953146
2022-02-26,8.34430001850342,8.192522812207315
2022-02-27,10.474690521152457,10.024816659310991
2022-02-28,11.626857696465418,10.353067139401409
2022-03-01,10.009511753520021,8.978425277111256
2022-03-02,9.911909439473158,8.887124148447601
2022-03-03,9.99081615602613,7.230339871511086
2022-03-04,9.74715806884497,8.490102907722639
2022-03-05,8.048768947900033,7.918179952084077
2022-03-06,9.949171605061657,9.773568411262039
2022-03-07,8.812374037288217,8.7749940827432
2022-03-08,9.17815505525046,8.085681150150293
2022-03-09,8.704191168116632,7.930790218611004
2022-03-10,8.451415876723617,8.557212707965977
2022-03-11,9.54535494572913,9.185205367975524
2022-03-12,9.36825879521078,8.625297635944795
2022-03-13,9.471781008348971,8.937780419168265
2022-03-14,8.915477850323603,8.114823653178334
2022-03-15,7.906270545683633,6.954675422284493
2022-03-16,7.883667197160612,7.044342404461534
2022-03-17,8.34478683597381,7.909244267256002
2022-03-18,9.030037380975969,7.490846538923466
2022-03-19,8.507077357975419,7.9010639506584495
2022-03-20,8.839508762380774,8.151674087535486
2022-03-21,7.727911111045853,7.007090469124038
2022-03-22,8.266057648212714,6.439064968952387
2022-03-23,8.890229895395528,6.629627688799823
2022-03-24,8.145181297002264,6.269376258485865
2022-03-25,8.16106031617177,5.342245336796322
2022-03-26,8.596863325454194,6.385608190859094
2022-03-27,7.7921445812189125,4.836461761687483
2022-03-28,8.168418759956454,6.825945482614061
2022-03-29,8.384658675461624,8.075453020814296
2022-03-30,9.26190676935793,8.378862760080088
2022-03-31,8.257050644404885,7.901233475314783
2022-04-01,8.278643853685752,8.045192183263723
2022-04-02,8.693684564629155,8.274988058673431
2022-04-03,8.345192633747864,8.245943075744943
2022-04-04,7.3359235389644555,6.802091015124711
2022-04-05,7.2753704164463855,6.82746816387043
2022-04-06,7.583057673027964,6.698400827821068
2022-04-07,7.437264615550982,5.860937670315293
2022-04-08,7.753459576497674,6.526632303963068
2022-04-09,7.132453703922939,6.575172551190802
2022-04-10,6.5600654105904725,5.608609530921863
2022-04-11,7.920241662737744,7.928462895806447
2022-04-12,7.569209046996141,7.6479168085267615
2022-04-13,6.375838584675341,6.0942304250529915
2022-04-14,7.728393377863449,7.084957395147092
2022-04-15,9.555500754431453,8.326248688609342
2022-04-16,8.67383252595004,8.226024845160103
2022-04-17,9.433251386125221,9.194706047276867
2022-04-18,9.356459447851565,8.813760231752145
2022-04-19,9.731123883471215,7.980905726028843
2022-04-20,8.467036023031627,7.619331504686914
2022-04-21,8.11207097883116,7.747686177071248
2022-04-22,8.041596568473453,7.5440154028977435
2022-04-23,9.157274894823997,8.497079570750635
2022-04-24,9.647480910382443,8.553651988841999
2022-04-25,9.293493920850617,7.8855103161582365
2022-04-26,9.023707911123738,8.399960796601492
2022-04-27,8.74466341442374,8.322410956222178
2022-04-28,8.242521048947845,8.121886102855354
2022-04-29,9.291544805681013,8.540190834069008
2022-04-30,8.605737539890894,8.397521176157065
2022-05-01,7.463416691010347,6.537626458421184
2022-05-02,8.540866247567186,8.76502344805392
2022-05-03,8.50698158970422,8.685664251499693
2022-05-04,9.005061418769214,7.461138904188764
2022-05-05,8.608526800760185,6.565121711802413
2022-05-06,7.926508264784245,6.356667608331882
