Date	inflow	thermD	U	AirP	AirT	Hum	delT	CC	MLD	NOX	DO_sur	DO_bot	PO4	TotP	NH4	TotN	Chl
1990-01-02	0.4535	-1.215	1.40038653972111	1022.09875	-0.7200000000000001	-4.155833333333333	-0.6807482	0.9075	-37.73966979980469	0.36346766352653503	10.68960189819336	11.289743423461914	0.1041996106505394	0.13262905180454254	0.0056260209530591965	0.8328936100006104	3.2739601135253906
1990-01-03	0.4535	-1.215	1.9891052867976533	1026.6745833333332	-0.55	-4.102916666666666	-0.70057964	0.77875	-37.73966979980469	0.36346766352653503	10.68960189819336	11.289743423461914	0.1041996106505394	0.13262905180454254	0.0056260209530591965	0.8328936100006104	3.2739601135253906
1990-01-04	0.4535	-1.215	4.570967102021658	1022.96875	-0.3866666666666666	-3.455833333333333	-0.73245406	1.0	-37.73966979980469	0.36346766352653503	10.68960189819336	11.289743423461914	0.1041996106505394	0.13262905180454254	0.0056260209530591965	0.8328936100006104	3.2739601135253906
1990-01-05	0.4535	-1.215	1.1728877302428662	1020.2079166666668	-0.06	-1.3766666666666667	-0.7632685	0.92375	-37.73966979980469	0.36346766352653503	10.68960189819336	11.289743423461914	0.1041996106505394	0.13262905180454254	0.0056260209530591965	0.8328936100006104	3.2739601135253906
1990-01-06	0.4535	-1.215	3.030882956724734	1025.5525	1.5379166666666666	0.7216666666666667	-0.7946024	0.9808333333333332	-37.73966979980469	0.36346766352653503	10.68960189819336	11.289743423461914	0.1041996106505394	0.13262905180454254	0.0056260209530591965	0.8328936100006104	3.2739601135253906
1990-01-07	0.4535	-1.215	4.563764269115074	1023.7704166666668	1.54625	0.5595833333333333	-0.8247373	0.9716666666666668	-37.73966979980469	0.36346766352653503	10.68960189819336	11.289743423461914	0.1041996106505394	0.13262905180454254	0.0056260209530591965	0.8328936100006104	3.2739601135253906
1990-01-08	0.4535	-1.215	5.338557085425751	1023.52375	3.824583333333333	2.8029166666666665	-0.8535769	0.7045833333333333	-37.73966979980469	0.36346766352653503	10.68960189819336	11.289743423461914	0.1041996106505394	0.13262905180454254	0.0056260209530591965	0.8328936100006104	3.2739601135253906
1990-01-09	0.4535	-1.215	5.869544783681934	1024.32875	3.920416666666666	2.7704166666666663	-0.8811157	0.69875	-37.73966979980469	0.36346766352653503	10.68960189819336	11.289743423461914	0.1041996106505394	0.13262905180454254	0.0056260209530591965	0.8328936100006104	3.2739601135253906
1990-01-10	0.4535	-1.215	6.296323320713557	1020.3833333333332	4.5225	3.230833333333333	-0.907207	0.8741666666666666	-37.73966979980469	0.3738841712474823	10.677029609680176	11.259886741638184	0.10394669324159622	0.1310552954673767	0.006132304668426514	0.8406675457954407	2.9663102626800537
1990-01-11	0.4535	-1.215	7.395359158478825	1015.2304166666668	7.708333333333333	6.3445833333333335	-0.93060136	0.9995833333333332	-37.73966979980469	0.38522037863731384	10.624201774597168	11.174783706665039	0.10395752638578415	0.12931771576404572	0.0066713676787912846	0.8485928177833557	2.547938346862793
1990-01-12	0.4535	-1.215	5.600500873880569	1020.2695833333332	6.8187500000000005	4.920833333333333	-0.89102006	0.945	-37.73966979980469	0.38436952233314514	10.492364883422852	11.068933486938477	0.10681875795125961	0.1296938955783844	0.006986387073993683	0.8498748540878296	2.253085136413574
1990-01-13	0.4535	-0.61	5.711215238150346	1018.0233333333334	4.041250000000001	2.4145833333333333	0.0066099167	0.66625	-37.73966979980469	0.3936552107334137	10.545658111572266	10.991790771484375	0.10999653488397598	0.13152095675468445	0.007963120937347412	0.8582425117492676	1.906884789466858
1990-01-14	0.4535	-0.61	3.669901689719491	1020.4079166666668	2.17875	1.0316666666666667	-0.016954184	0.8312499999999999	-37.73966979980469	0.3955404460430145	10.577994346618652	10.899070739746094	0.11448085308074951	0.13641661405563354	0.008567487820982933	0.8655529022216797	1.808595061302185
1990-01-15	0.4535	-0.61	8.013320329902578	1007.4625	4.895833333333333	3.651666666666667	0.006167412	0.9725	-37.73966979980469	0.39184296131134033	10.538996696472168	10.792131423950195	0.11735677719116211	0.13934646546840668	0.009167050011456013	0.8695299625396729	1.5989999771118164
1990-01-16	0.4535	-0.61	8.877671049669425	1004.58625	8.031666666666666	4.644166666666666	0.0110964775	0.8241666666666667	-37.73966979980469	0.39449888467788696	10.573934555053711	10.789571762084961	0.11586862057447433	0.13871419429779053	0.009747853502631187	0.8743917942047119	1.4985698461532593
1990-01-17	0.4535	-0.61	10.166548681150184	1001.1075	7.28875	3.845833333333333	0.01119566	0.7683333333333334	-37.73966979980469	0.39940106868743896	10.60124683380127	10.809896469116211	0.11334921419620514	0.13651585578918457	0.010314620099961758	0.881553053855896	1.4603544473648071
1990-01-18	0.4535	-0.61	9.193652198448005	1007.5433333333334	4.513333333333334	0.4729166666666666	0.0030441284	0.1979166666666666	-37.73966979980469	0.40431320667266846	10.682880401611328	10.858901023864746	0.1114102378487587	0.1359531730413437	0.01055084727704525	0.8932163715362549	1.8321681022644043
1990-01-19	0.4535	-0.61	6.804482529139835	1012.0408333333334	4.022083333333334	2.1041666666666665	0.003724575	0.6749999999999999	-37.73966979980469	0.406025230884552	10.789318084716797	10.896075248718262	0.1121257096529007	0.1393761783838272	0.010310957208275795	0.9021680951118469	2.2426669597625732
1990-01-20	0.4535	-0.61	6.996432142232918	1010.7608333333332	5.1120833333333335	2.433333333333333	0.0069174767	0.7179166666666666	-37.73966979980469	0.4108457863330841	10.862251281738281	10.848387718200684	0.1162373274564743	0.14731569588184357	0.010361040942370892	0.9190863370895386	2.4084277153015137
