Date	inflow	thermD	delT	U	AirP	AirT	Hum	CC	MLD	W	Treatment
1990-01-02	0.4535	-1.215	-0.6807482	1.40038653972111	1022.09875	-0.7200000000000001	-4.155833333333333	0.9075	-37.73966979980469	3641.610861178989	0
1990-01-03	0.4535	-1.215	-0.70057964	1.9891052867976533	1026.6745833333332	-0.55	-4.102916666666666	0.77875	-37.73966979980469	1125.565995821058	0
1990-01-04	0.4535	-1.215	-0.73245406	4.570967102021658	1022.96875	-0.3866666666666666	-3.455833333333333	1.0	-37.73966979980469	879.9550980670864	0
1990-01-05	0.4535	-1.215	-0.7632685	1.1728877302428662	1020.2079166666668	-0.06	-1.3766666666666667	0.92375	-37.73966979980469	9429.232560540271	0
1990-01-06	0.4535	-1.215	-0.7946024	3.030882956724734	1025.5525	1.5379166666666666	0.7216666666666667	0.9808333333333332	-37.73966979980469	2185.689464497238	0
1990-01-07	0.4535	-1.215	-0.8247373	4.563764269115074	1023.7704166666668	1.54625	0.5595833333333333	0.9716666666666668	-37.73966979980469	1147.7254771590312	0
1990-01-08	0.4535	-1.215	-0.8535769	5.338557085425751	1023.52375	3.824583333333333	2.8029166666666665	0.7045833333333333	-37.73966979980469	116.19983459942708	0
1990-01-09	0.4535	-1.215	-0.8811157	5.869544783681934	1024.32875	3.920416666666666	2.7704166666666663	0.69875	-37.73966979980469	126.4218200657415	0
1990-01-10	0.4535	-1.215	-0.907207	6.296323320713557	1020.3833333333332	4.5225	3.230833333333333	0.8741666666666666	-37.73966979980469	198.71599571219696	0
1990-01-11	0.4535	-1.215	-0.93060136	7.395359158478825	1015.2304166666668	7.708333333333333	6.3445833333333335	0.9995833333333332	-37.73966979980469	68.62336326932896	0
1990-01-12	0.4535	-1.215	-0.89102006	5.600500873880569	1020.2695833333332	6.8187500000000005	4.920833333333333	0.945	-37.73966979980469	95.55752481318945	0
1990-01-13	0.4535	-0.61	0.0066099167	5.711215238150346	1018.0233333333334	4.041250000000001	2.4145833333333333	0.66625	-37.73966979980469	0.0	0
1990-01-14	0.4535	-0.61	-0.016954184	3.669901689719491	1020.4079166666668	2.17875	1.0316666666666667	0.8312499999999999	-37.73966979980469	23.56388504106213	0
1990-01-15	0.4535	-0.61	0.006167412	8.013320329902578	1007.4625	4.895833333333333	3.651666666666667	0.9725	-37.73966979980469	0.0	0
1990-01-16	0.4535	-0.61	0.0110964775	8.877671049669425	1004.58625	8.031666666666666	4.644166666666666	0.8241666666666667	-37.73966979980469	0.6797388454868019	0
1990-01-17	0.4535	-0.61	0.01119566	10.166548681150184	1001.1075	7.28875	3.845833333333333	0.7683333333333334	-37.73966979980469	1.391187006154209	0
1990-01-18	0.4535	-0.61	0.0030441284	9.193652198448005	1007.5433333333334	4.513333333333334	0.4729166666666666	0.1979166666666666	-37.73966979980469	0.0	0
1990-01-19	0.4535	-0.61	0.003724575	6.804482529139835	1012.0408333333334	4.022083333333334	2.1041666666666665	0.6749999999999999	-37.73966979980469	0.0	0
1990-01-20	0.4535	-0.61	0.0069174767	6.996432142232918	1010.7608333333332	5.1120833333333335	2.433333333333333	0.7179166666666666	-37.73966979980469	0.0	0
1990-01-21	0.4535	-0.61	0.020080566	6.1595572738602336	1017.7741666666666	7.120416666666667	5.1762500000000005	0.8920833333333333	-37.73966979980469	2.2102431157673283	0
1990-01-22	0.4535	-0.61	0.025425673	5.659899555072087	1019.8145833333332	7.438333333333333	6.1225	0.99625	-37.73966979980469	9.87865000692429	0
1990-01-23	0.4535	-0.61	0.012659073	8.195860534559811	1006.9320833333333	6.455416666666667	4.839583333333334	0.9345833333333332	-37.73966979980469	0.0	0
1990-01-24	0.4535	-0.61	0.000995636	6.0870748744903045	991.9983333333332	3.7908333333333335	1.9325	0.8316666666666667	-37.73966979980469	0.0	0
1990-01-25	0.4535	-0.61	0.0016920567	8.057862994199837	986.0258333333333	3.61	1.8841666666666663	0.77875	-37.73966979980469	0.0	0
1990-01-26	0.4535	-0.61	0.0015394688	13.310199582403078	973.7375	4.858333333333333	1.4754166666666668	0.9908333333333332	-37.73966979980469	0.0	0
1990-01-27	0.4535	-0.61	0.0032269955	7.133152165851743	994.90125	3.679583333333333	1.4166666666666667	0.7629166666666666	-37.73966979980469	0.0	0
1990-01-28	0.4535	-0.61	0.0072927475	8.863137879566953	993.1254166666666	4.775416666666667	2.080833333333333	0.9166666666666666	-37.73966979980469	0.0	0
1990-01-29	0.4535	-0.61	0.00907588	7.592048910670916	998.4745833333332	4.837083333333333	1.852083333333333	0.5866666666666667	-37.73966979980469	0.0	0
1990-01-30	0.4535	-0.61	0.00845623	6.173554862151039	1000.2920833333332	4.5425	2.174583333333333	0.8829166666666667	-37.73966979980469	40.1744432750476	0
1990-01-31	0.4535	-0.61	0.017470121	7.561350472480149	1001.0358333333334	6.579166666666667	3.525416666666666	0.9304166666666666	-37.73966979980469	0.0	0
1990-02-01	0.7258	-0.61	0.0297091	5.286995281541272	1003.6016666666666	6.72125	3.4633333333333334	0.9845833333333333	-37.73966979980469	95.60791121036124	0
1990-02-02	0.7258	-0.61	0.017158985	6.561366474634879	1002.2745833333332	5.242916666666667	3.388333333333333	0.8300000000000001	-37.73966979980469	0.0	0
1990-02-03	0.7258	-0.61	0.018884182	6.56276757589161	1004.0354166666666	5.451249999999999	2.859583333333333	0.7870833333333334	-37.73966979980469	7.705121102038549	0
1990-02-04	0.7258	-0.61	0.018011093	7.271540620184748	1011.415	6.070416666666667	3.442916666666666	0.7420833333333333	-37.73966979980469	0.0	0
1990-02-05	0.7258	-0.61	0.026794434	6.230969104795921	1017.5275	7.095833333333334	4.035	0.8533333333333334	-37.73966979980469	0.0	0
1990-02-06	0.7258	-0.61	0.034321547	4.921764172166356	1015.1120833333332	5.12125	1.6362500000000002	0.30875	-37.73966979980469	3675.009766124005	0
1990-02-07	0.7258	-0.61	0.030255556	8.704103071757526	1001.9845833333334	7.09	3.7083333333333335	0.7083333333333334	-37.73966979980469	36.91703567370236	0
1990-02-08	0.7258	-0.61	0.028697014	12.181097134235204	989.88125	8.8025	5.5625	0.8733333333333334	-37.73966979980469	0.0	0
