Date	thermD	MLD	SW	AirT	Prec(mm)	relhum	Wdir	Wspeed(m/s)	CC	Inflow	W	delT	Ice_d	day_from_iceoff	MM
2004-05-03	-4.7543		175.2719421	12.091666666666669	6.4	71.06254981839704	172.0	2.708333333333333	66.66666666666667	6.89421	0.6508948393387172	-6.481684977188706e-06	71	-28.0	5
2004-05-04	-4.6948		171.1484375	10.991666666666667	0.0	90.722776526158	194.0	2.4375000000000004	87.66666666666667	8.2692	0.3992974587291264	-5.572248483076692e-06	71	-27.0	5
2004-05-05	-4.6149		222.2332611	15.670833333333333	0.0	68.9397231239292	127.0	2.391666666666667	75.33333333333333	7.23828	0.3152721929572073	-4.884903319180012e-06	71	-26.0	5
2004-05-06	-4.5486		255.7687378	17.404166666666665	0.0	51.70748110617156	103.0	2.4791666666666665	21.33333333333333	6.61041	0.7651991656979298	-4.364759661257267e-06	71	-25.0	5
2004-05-07	-4.5403		269.1548157	17.38333333333333	0.0	48.635360029214745	29.0	2.254166666666666	33.666666666666664	6.16939	0.9765790710259551	-3.963563358411193e-06	71	-24.0	5
2004-05-08	-4.5559		282.3059692	16.579166666666666	0.0	47.11582744834003	63.0	2.0583333333333336	8.333333333333334	5.819	10.405648495210134	-3.6457786336541176e-06	71	-23.0	5
2004-05-09	-4.5739		263.1607361	16.004166666666666	0.0	52.51089707445412	7.0	2.0083333333333333	62.66666666666666	5.51619	14.412077965739167	-3.3863179851323366e-06	71	-22.0	5
2004-05-10	-4.5831		240.6934052	6.616666666666668	0.0	85.27851080207374	12.0	3.570833333333333	91.66666666666669	5.24152	5.188036777281334	-3.16780642606318e-06	71	-21.0	5
2004-05-11	-4.586		274.0756531	7.433333333333331	0.0	52.65600431216536	31.0	2.4791666666666665	38.0	4.98605	17.6597801196728	-2.978718839585781e-06	71	-20.0	5
2004-05-12	-6.0464		223.1224365	6.220833333333332	0.0	49.20267920206858	25.0	2.3000000000000003	37.66666666666666	4.74548	19.74102915140622	-2.811022568494081e-06	71	-19.0	5
2004-05-13	-6.0848		292.5437012	7.233333333333332	3.8	46.012620162118985	23.0	1.7958333333333334	37.66666666666666	4.51761	0.7042030549345644	-2.659638994373381e-06	71	-18.0	5
