Date	U	AirP	AirT	Hum	inflow	thermD	CC	MLD	W	delT	Treatment	NOX	DO_sur	DO_bot	PO4	TotP	TotN	NH4	Chl
1990-01-02	1.40038653972111	1022.09875	-0.7200000000000001	-4.155833333333333	0.4535	-1.215	0.9075	-37.73966979980469	3641.610861178989	-0.6807482	0	0.36556482315063477	12.098261833190918	11.581216812133789	0.13852165639400482	0.20631802082061768	0.8913217186927795	0.00688122259452939	5.752710342407227
1990-01-03	1.9891052867976533	1026.6745833333332	-0.55	-4.102916666666666	0.4535	-1.215	0.77875	-37.73966979980469	1125.565995821058	-0.70057964	0	0.36556482315063477	12.098261833190918	11.581216812133789	0.13852165639400482	0.20631802082061768	0.8913217186927795	0.00688122259452939	5.752710342407227
1990-01-04	4.570967102021658	1022.96875	-0.3866666666666666	-3.455833333333333	0.4535	-1.215	1.0	-37.73966979980469	879.9550980670864	-0.73245406	0	0.36556482315063477	12.098261833190918	11.581216812133789	0.13852165639400482	0.20631802082061768	0.8913217186927795	0.00688122259452939	5.752710342407227
1990-01-05	1.1728877302428662	1020.2079166666668	-0.06	-1.3766666666666667	0.4535	-1.215	0.92375	-37.73966979980469	9429.232560540271	-0.7632685	0	0.36556482315063477	12.098261833190918	11.581216812133789	0.13852165639400482	0.20631802082061768	0.8913217186927795	0.00688122259452939	5.752710342407227
1990-01-06	3.030882956724734	1025.5525	1.5379166666666666	0.7216666666666667	0.4535	-1.215	0.9808333333333332	-37.73966979980469	2185.689464497238	-0.7946024	0	0.36556482315063477	12.098261833190918	11.581216812133789	0.13852165639400482	0.20631802082061768	0.8913217186927795	0.00688122259452939	5.752710342407227
1990-01-07	4.563764269115074	1023.7704166666668	1.54625	0.5595833333333333	0.4535	-1.215	0.9716666666666668	-37.73966979980469	1147.7254771590312	-0.8247373	0	0.36556482315063477	12.098261833190918	11.581216812133789	0.13852165639400482	0.20631802082061768	0.8913217186927795	0.00688122259452939	5.752710342407227
1990-01-08	5.338557085425751	1023.52375	3.824583333333333	2.8029166666666665	0.4535	-1.215	0.7045833333333333	-37.73966979980469	116.19983459942708	-0.8535769	0	0.36556482315063477	12.098261833190918	11.581216812133789	0.13852165639400482	0.20631802082061768	0.8913217186927795	0.00688122259452939	5.752710342407227
1990-01-09	5.869544783681934	1024.32875	3.920416666666666	2.7704166666666663	0.4535	-1.215	0.69875	-37.73966979980469	126.4218200657415	-0.8811157	0	0.36556482315063477	12.098261833190918	11.581216812133789	0.13852165639400482	0.20631802082061768	0.8913217186927795	0.00688122259452939	5.752710342407227
1990-01-10	6.296323320713557	1020.3833333333332	4.5225	3.230833333333333	0.4535	-1.215	0.8741666666666666	-37.73966979980469	198.71599571219696	-0.907207	0	0.38646432757377625	11.891104698181152	11.616744995117188	0.1346956193447113	0.19323918223381042	0.8996659517288208	0.007201903034001589	5.879554748535156
1990-01-11	7.395359158478825	1015.2304166666668	7.708333333333333	6.3445833333333335	0.4535	-1.215	0.9995833333333332	-37.73966979980469	68.62336326932896	-0.93060136	0	0.4133876860141754	11.752741813659668	11.549930572509766	0.12986865639686584	0.1773260086774826	0.904525876045227	0.007336949929594994	5.894609451293945
1990-01-12	5.600500873880569	1020.2695833333332	6.8187500000000005	4.920833333333333	0.4535	-1.215	0.945	-37.73966979980469	95.55752481318945	-0.89102006	0	0.4177413582801819	11.601471900939941	11.456624984741211	0.13164649903774261	0.16606761515140533	0.9023463129997253	0.007313027512282133	5.698053359985352
1990-01-13	5.711215238150346	1018.0233333333334	4.041250000000001	2.4145833333333333	0.4535	-0.61	0.66625	-37.73966979980469	0.0	0.0066099167	0	0.44598549604415894	10.989069938659668	11.53088665008545	0.12714721262454987	0.15372544527053833	0.921261727809906	0.009650064632296562	5.216874599456787
1990-01-14	3.669901689719491	1020.4079166666668	2.17875	1.0316666666666667	0.4535	-0.61	0.8312499999999999	-37.73966979980469	23.56388504106213	-0.016954184	0	0.4515519142150879	10.812344551086426	11.514718055725098	0.13177786767482758	0.15198183059692383	0.9252073168754578	0.010619774460792542	4.739199638366699
1990-01-15	8.013320329902578	1007.4625	4.895833333333333	3.651666666666667	0.4535	-0.61	0.9725	-37.73966979980469	0.0	0.006167412	0	0.4477130174636841	10.680891036987305	11.443947792053223	0.13790899515151978	0.1511470377445221	0.9233431220054626	0.011114826425909996	4.185673713684082
1990-01-16	8.877671049669425	1004.58625	8.031666666666666	4.644166666666666	0.4535	-0.61	0.8241666666666667	-37.73966979980469	0.6797388454868019	0.0110964775	0	0.46241042017936707	10.790392875671387	11.358518600463867	0.13503147661685944	0.14654333889484406	0.9345661997795105	0.011255157180130482	3.933727979660034
1990-01-17	10.166548681150184	1001.1075	7.28875	3.845833333333333	0.4535	-0.61	0.7683333333333334	-37.73966979980469	1.391187006154209	0.01119566	0	0.4912568926811218	10.912992477416992	11.28960132598877	0.13272146880626678	0.14267368614673615	0.9584619998931885	0.011323178187012672	3.7613630294799805
1990-01-18	9.193652198448005	1007.5433333333334	4.513333333333334	0.4729166666666666	0.4535	-0.61	0.1979166666666666	-37.73966979980469	0.0	0.0030441284	0	0.5256683826446533	11.015053749084473	11.309617042541504	0.1351242959499359	0.14546796679496765	1.0049635171890259	0.01149837952107191	3.7357234954833984
1990-01-19	6.804482529139835	1012.0408333333334	4.022083333333334	2.1041666666666665	0.4535	-0.61	0.6749999999999999	-37.73966979980469	0.0	0.003724575	0	0.5378443002700806	11.121832847595215	11.396590232849121	0.14237406849861145	0.15335583686828613	1.0381264686584473	0.011719144880771637	3.784113645553589
