Date,thermistorDepth,V1
2019-07-09,7,NA
2019-07-09,8.75,NA
2019-07-09,10.5,NA
2019-07-09,12.25,NA
2019-07-09,14,NA
2019-07-09,15.75,NA
2019-07-10,0.05,NA
2019-07-10,1.75,NA
2019-07-10,3.5,NA
2019-07-10,5.25,NA
2019-07-10,7,NA
2019-07-10,8.75,NA
2019-07-10,10.5,NA
2019-07-10,12.25,NA
2019-07-10,14,NA
2019-07-10,15.75,NA
2019-07-11,0.05,NA
2019-07-11,1.75,NA
2019-07-11,3.5,NA
2019-07-11,5.25,NA
2019-07-11,7,NA
2019-07-11,8.75,NA
2019-07-11,10.5,NA
2019-07-11,12.25,NA
2019-07-11,14,NA
2019-07-11,15.75,NA
2019-07-12,0.05,NA
2019-07-12,1.75,NA
2019-07-12,3.5,NA
2019-07-12,5.25,NA
2019-07-12,7,NA
2019-07-12,8.75,NA
2019-07-12,10.5,NA
2019-07-12,12.25,NA
2019-07-12,14,NA
2019-07-12,15.75,NA
2019-07-13,0.05,NA
2019-07-13,1.75,NA
2019-07-13,3.5,NA
2019-07-13,5.25,NA
2019-07-13,7,NA
2019-07-13,8.75,NA
2019-07-13,10.5,NA
2019-07-13,12.25,NA
2019-07-13,14,NA
2019-07-13,15.75,NA
2019-07-14,0.05,NA
2019-07-14,1.75,NA
2019-07-14,3.5,NA
2019-07-14,5.25,NA
2019-07-14,7,NA
2019-07-14,8.75,NA
2019-07-14,10.5,NA
2019-07-14,12.25,NA
2019-07-14,14,NA
2019-07-14,15.75,NA
2019-07-15,0.05,NA
2019-07-15,1.75,NA
2019-07-15,3.5,NA
2019-07-15,5.25,NA
2019-07-15,7,NA
2019-07-15,8.75,NA
2019-07-15,10.5,NA
2019-07-15,12.25,NA
2019-07-15,14,NA
2019-07-15,15.75,NA
2019-07-16,0.05,NA
2019-07-16,1.75,NA
2019-07-16,3.5,NA
2019-07-16,5.25,NA
2019-07-16,7,NA
2019-07-16,8.75,NA
2019-07-16,10.5,NA
2019-07-16,12.25,NA
2019-07-16,14,NA
2019-07-16,15.75,NA
2019-07-17,0.05,NA
2019-07-17,1.75,NA
2019-07-17,3.5,NA
2019-07-17,5.25,NA
2019-07-17,7,NA
2019-07-17,8.75,NA
2019-07-17,10.5,NA
2019-07-17,12.25,NA
2019-07-17,14,NA
2019-07-17,15.75,NA
2019-07-18,0.05,NA
2019-07-18,1.75,NA
2019-07-18,3.5,NA
2019-07-18,5.25,NA
2019-07-18,7,NA
2019-07-18,8.75,NA
2019-07-18,10.5,NA
2019-07-18,12.25,NA
2019-07-18,14,NA
2019-07-18,15.75,NA
2019-07-19,0.05,NA
2019-07-19,1.75,NA
2019-07-19,3.5,NA
2019-07-19,5.25,NA
2019-07-19,7,NA
2019-07-19,8.75,NA
2019-07-19,10.5,NA
2019-07-19,12.25,NA
2019-07-19,14,NA
2019-07-19,15.75,NA
2019-07-20,0.05,NA
2019-07-20,1.75,NA
2019-07-20,3.5,NA
2019-07-20,5.25,NA
2019-07-20,7,NA
2019-07-20,8.75,NA
2019-07-20,10.5,NA
2019-07-20,12.25,NA
2019-07-20,14,NA
2019-07-20,15.75,NA
2019-07-21,0.05,NA
2019-07-21,1.75,NA
2019-07-21,3.5,NA
2019-07-21,5.25,NA
2019-07-21,7,NA
2019-07-21,8.75,NA
2019-07-21,10.5,NA
2019-07-21,12.25,NA
2019-07-21,14,NA
2019-07-21,15.75,NA
2019-07-22,0.05,NA
2019-07-22,1.75,NA
2019-07-22,3.5,NA
2019-07-22,5.25,NA
2019-07-22,7,NA
2019-07-22,8.75,NA
2019-07-22,10.5,NA
2019-07-22,12.25,NA
2019-07-22,14,NA
2019-07-22,15.75,NA
2019-07-23,0.05,NA
2019-07-23,1.75,NA
2019-07-23,3.5,NA
2019-07-23,5.25,NA
2019-07-23,7,NA
2019-07-23,8.75,NA
2019-07-23,10.5,NA
2019-07-23,12.25,NA
2019-07-23,14,NA
2019-07-23,15.75,NA
2019-07-24,0.05,17.19
2019-07-24,1.75,16.715
2019-07-24,3.5,16.05
2019-07-24,5.25,14.94
2019-07-24,7,13.33
2019-07-24,8.75,8.585
2019-07-24,10.5,7.295
2019-07-24,12.25,6.755
2019-07-24,14,6.455
2019-07-24,15.75,6.245
2019-07-25,0.05,16.8260416666667
2019-07-25,1.75,16.7285416666667
2019-07-25,3.5,16.2514583333333
2019-07-25,5.25,15.0889583333333
2019-07-25,7,13.405
2019-07-25,8.75,8.788125
2019-07-25,10.5,7.36854166666667
2019-07-25,12.25,6.70666666666667
2019-07-25,14,6.411875
2019-07-25,15.75,6.22375
2019-07-26,0.05,16.5647916666667
2019-07-26,1.75,16.5758333333333
2019-07-26,3.5,16.5495833333333
2019-07-26,5.25,15.4310416666667
2019-07-26,7,13.4635416666667
2019-07-26,8.75,8.81854166666667
2019-07-26,10.5,7.38916666666667
2019-07-26,12.25,6.73895833333333
2019-07-26,14,6.43375
2019-07-26,15.75,6.25645833333333
2019-07-27,0.05,16.0747916666667
2019-07-27,1.75,16.0885416666667
2019-07-27,3.5,16.0802083333333
2019-07-27,5.25,15.5897916666667
2019-07-27,7,13.5810416666667
2019-07-27,8.75,8.80916666666667
2019-07-27,10.5,7.40958333333333
2019-07-27,12.25,6.756875
2019-07-27,14,6.43708333333333
2019-07-27,15.75,6.27291666666667
2019-07-28,0.05,15.5789583333333
2019-07-28,1.75,15.596875
2019-07-28,3.5,15.5941666666667
2019-07-28,5.25,15.4695833333333
2019-07-28,7,13.7822916666667
2019-07-28,8.75,8.80583333333333
2019-07-28,10.5,7.36583333333333
2019-07-28,12.25,6.740625
2019-07-28,14,6.42270833333333
2019-07-28,15.75,6.25875
2019-07-29,0.05,15.1241666666667
2019-07-29,1.75,15.1189583333333
2019-07-29,3.5,15.1079166666667
2019-07-29,5.25,15.0872916666667
2019-07-29,7,13.87375
2019-07-29,8.75,8.826875
2019-07-29,10.5,7.36729166666667
2019-07-29,12.25,6.73666666666667
2019-07-29,14,6.41979166666667
2019-07-29,15.75,6.24145833333333
2019-07-30,0.05,15.0989583333333
2019-07-30,1.75,15.0066666666667
2019-07-30,3.5,14.9175
2019-07-30,5.25,14.8045833333333
2019-07-30,7,13.9052083333333
2019-07-30,8.75,8.84104166666667
2019-07-30,10.5,7.386875
2019-07-30,12.25,6.7475
2019-07-30,14,6.4375
2019-07-30,15.75,6.25291666666667
